src_name,    src_addr, dst_addr, length
,            0,        0,        6263
rom,         2E04D,    BD,       15
rom,         3AD94,    E04,      2F
rom,         36EDF,    F4F,      75
rom,         33EC8,    1F38,     148
rom,         3C010,    2080,     4000
nsf-sfx.bin, 0,        0,        80
nsf-sfx.bin, 80,       6080,     1E3
nsf-sfx.bin, 263,      5F28,     4
